num,Year ,season ,city,colorname,hexcode,cv,color,symbol
1,22/23,A/W,Nework,LAVA FALLS ,A71C28,trend,RED,"매혹적, 존재감, 열정적인"
2,22/23,A/W,Nework,SAMOAN SUN ,F5BF4D,trend,YELLOW,"쾌활, 조명, 계몽"
3,22/23,A/W,Nework,ORANGE TIGER,FC6503,trend,ORANGE,기발한
4,22/23,A/W,Nework,ROSE VIOLET ,D33591,trend,RED,"비비드한, 생기가득한"
5,22/23,A/W,Nework,AMAZON,02784C,trend,GREEN,"무성한, 비옥한, 활엽수"
6,22/23,A/W,Nework,NOSEGAY ,FDBEDB,trend,PINK,향기로운 
7,22/23,A/W,Nework,WATERSPOUT,7AD1D8,trend,BLUE,"시원한,투명한,신선한, 상쾌한"
8,22/23,A/W,Nework,CARAMEL CAF?,944C1A,trend,BROWN,"은은한, 유혹적인, 맛있는 카라멜"
9,22/23,A/W,Nework,MIDNIGHT,1E576E,trend,BLUE,"저녁하늘, 최면의 "
10,22/23,A/W,Nework,MARTINI OLIVE ,6C6344,trend,BROWN,그린톤
11,22/23,A/W,Nework,ARCTIC WOLF,EDE4D3,classic,WHITE,"부드러운, 음영의 "
12,22/23,A/W,Nework,AUTUMN BLONDE,F1CDA9,classic,BROWN,부드러운
13,22/23,A/W,Nework,POLAR NIGHT,33343F,classic,BLACK,"우주의, 새로운, 미스터리"
14,22/23,A/W,Nework,LODEN FROST,708E6F,classic,GREEN,"진정, 회복, 지구 "
15,22/23,A/W,Nework,CHISELED STONE,8E9094,classic,GRAY,"묵직한, 힘"
16,22,S/S,Nework,SPUN SUGAR,CEE9F3,trend,BLUE,"바람이 잘통하는, 달달한"
17,22,S/S,Nework,GOSSAMER PINK,F6D4D2,trend,PINK,"뽀송한,가벼운, 부드러운"
18,22,S/S,Nework,INNUENDO,E5015F,trend,PINK,"높은, 가시성, 감동적인"
19,22,S/S,Nework,SKYDIVER,04436F,trend,BLUE,"새로운차원,영감"
20,22,S/S,Nework,DAFFODIL,FEBE35,trend,YELLOW,연결된
21,22,S/S,Nework,GLACIER LAKE,83AACA,trend,BLUE,"진정함, 고요한,냉각"
22,22,S/S,Nework,HARBOR BLUE,02626F,trend,GREEN,"안전한, 탐색"
