YEAR,COLORNAME,Hexcode, COLOR,SYMBOL 
2000,CERULEAN BLUE,#9BB7D4,3.BLUE,"안정감, 하늘"
2001,FUCHSIA ROSE,#C74375,7.PINK,"섹시, 흥미, 밝음, 여성적, 대담"
2002,TRUE RED,#BF1932,8.RED,"애국, 구조, 심장, 소방차, 사랑, 연민, 회복"
2003,AQUA SKY,#7BC4C4,4.GREEN,"차분, 시원, 희망, 평온"
2004,TIGERLILY,#E2583E,6.ORANGE,"이국적, 밝음, 안타까움, 힘, 열정, 희망"
2005,BLUE TURQUOISE,#53B0AE,4.GREEN,"시원함, 자연적"
2006,SAND DOLLAR,#DECDBE,9.BROWN,"사막, 중립적"
2007,CHILI PEPPER,#9B1B30,8.RED,"자신감, 이국적"
2008,BLUE IRIS,#5A5B9F,2.PUPPLE,"미스터리, 신비롭고 영적임, 신뢰성"
2009,MIMOSA,#F0C05A,5.YELLOW,"희망, 확신, 깨달음"
2010,TURQUOISE,#45B5AA,4.GREEN,"부적, 치유, 신앙, 현실의 탈출, 파라다이스, 위안"
2011,HONEYSUCKLE,#D94F70,7.PINK,"자신감, 용기"
2012,TANGERINE TANGO,#DD4124,6.ORANGE,"활기, 다정함, 에너지"
2013,EMERALD ,#009473,4.GREEN,"치유, 연합, 회춘"
2014,RADIANT ORCHID,#AD5E99,2.PUPPLE,"자신감, 큰 기쁨, 사랑 및 건강"
2015,MARASLALA,#964F4C,9.BROWN,"강렬함, 우아함, 강한 인상, 풍요로움, 풍부함, 세련됨, 자연미"
2016,ROSE QUARTZ ,#F7CACA ,7.PINK,"따뜻함, 포근한 장미톤(로즈)"
2016,SERENITY,#93A9D1 ,3.BLUE,"푸름, 평온한 블루톤, 침착함, 만족성, 연관성"
2017,GREENERY,#88B04B,4.GREEN,희망 
2018,ULTRA VIOLET,#5F4B8B,2.PUPPLE,"창의적, 독창성, 미래, 신비함, 광대함, 무한함 "
2019,LIVING CORAL,#FF6F61,6.ORANGE,"활기참, 부드러움, 낙관주의 , 즐거움, 소망"
2020,CLASSIC BLUE ,#0F4C81,3.BLUE,"차분함, 자신감, 연결된 느낌, 안정"
2021,ILLUMINATING,#F5DF4D,5.YELLOW,"밝고, 경쾌함, 따뜻함, 희망, 생명력, 따뜻한 그늘"
2021,ULTIMATE GRAY,#939597,1.GRAY,"안정감, 차분함, 강인함, 견고함, 신뢰, 침착함"
2022,VERY PERI,#6667AB,2.PUPPLE,"자신감, 호기심, 활기참, 유쾌함, 역동적, 새로운 시각, 비전"
